ID	Source	Direction	Target	Status	Contributor	Shift Type	Language	Language ID	Lexeme	Source/Sense1	Target/Sense2	Reference	Comments	Contributor
40	to find	→	to receive visitors	Accepted	MR	Polysemy	Evenki	even1260	бака-	 'to find' 	'to meet' 	 	 The same in Oroch and Udige: in Solon, Even, Negidal, Ulcha and Nanai there is only meaning A, but there is a derived verb meaning 'to meet'. In Negidal, Oroch, Udige and Nanai this root gave rise to the traditional greeting. ТМС 1, 66-67	 MR
41	to taste	→	to like	New	DG	Semantic evolution	Latin	lati1261	gusto	    Italian 		 	 In Latin there is only Meaning А, in Italian there are both.	 DG
42	to smile	→	to like	New	DG	Polysemy	Italian	ital1282	sorridere	   		 	 	 DG
43	to want	—	to love	Accepted	DG	Polysemy	Jarawara	jama1261	nofa	 'to want' 	'to like, love' 	 	 JED 140.	 IG
44	to know how, to be able	→	can, to be able	Suspended	DG	Polysemy	Bulgarian	bulg1262	umeja	 'to know, to be able [Бернштейн 1986]' 	'to know, to be able' 	 	 Cf. The Rus. Which means more or less the same as ‘смочь’ (я не сумел его убедить = ‘I could not convince him’). I.e. уметь – суметь (derivation)	 DG
45	to see/to look at	—	to seem	Accepted	DG	Polysemy	Macedonian	mace1250	vidi	 'to see' 	'to appear' 	 	 [Толовски, Иллич-Свитыч 1963: 52]. Cf. Rus. видеть (see)- привидеться (seem).	 DG
46	dog	→	seal (animal)	Accepted	IG	Derivation	Mongolian (Khalkha)	halh1238	nohoy	 'dog'  		 	 	 IG
47	belly	—	location of emotions	Accepted	IG	Polysemy	Rapanui	rapa1244	manava	 'stomach, abdomen'  		 	 Englert	 MR
48	air	—	weather	Accepted	IG	Polysemy	Amharic	amha1245	ayyär	 '‘air, atmosphere’' 	'‘climate, weather’' 	 	 (K 1288)	 MB
49	to walk, wander	—	to loaf, do nothing	Accepted	IG	Polysemy	Gagauz	gaga1249	havalan-	 'to stroll, to walk in the open' 	'to idle, to lounge' 	 	 ГРМС 505. The setm has been derived from the root хава 'air'.	 IG
50	genuine, true	—	honest	Suspended	IG	Polysemy	Gagauz	gaga1249	haliz	 'original, authentic' 	'sincere, honest' 	 	 ГРМС 511. Явное заимствование из араб.ḫāliṣ- ‘clear, pure, free from admixture: unmingled: genuine: fig. pure, or sincere (love, religion etc.)’ (Lane 286, BK I 614) - то есть исходное значение 'чистый'.	 IG
51	memory	—	respect (n.)	Suspended	IG	Polysemy	Gagauz	gaga1249	hatır	 'memory' 	'honour' 	 	 ГРМС 516.	 IG
52	memory	—	health	Suspended	IG	Polysemy	Gagauz	gaga1249	hatır	 'memory' 	'health' 	 	 ГРМС 516.	 IG
53	time	—	weather	Accepted	DG	Polysemy	Icelandic	icel1247	tíð	 'time' 	'weather' 	 	 Берков	 MR
54	wind	→	window	New	IG	Derivation	English	stan1293	wind	  → 		 	 Borrowed in the Late Old English period from the Old Icel. vindauga 'window': literally, 'wind eye'	 All
55	sharp	—	spicy	Accepted	LG	Polysemy	Burmese	nucl1310	сỳшá	 'to be sharp (e.g. knife)' 	'to be spicy, bitter' 	 	 Novikov et al. 1976, 164	 MR
56	to sting	—	spicy	New	IG	Polysemy	Ancient Greek	anci1242	δηκτικός	 'biting, stinging' 	'acrid' 	 	 LSJ 384	 IG
57	boy	→	servant	Accepted	IG	Polysemy	Tagalog	taga1270	batà	 'child' 	'boy servant' 	 	 Таг 50	 MR
58	right (vs. left)	—	skilled	Accepted	IG	Polysemy	Latin	lati1261	dexter	 'right' 	'dexterous, skilful' 	 	 Glare 535	 LG
59	correct (adj.)	—	right (vs. left)	Accepted	IG	Polysemy	Russian	russ1263	pravyj	 'right' 	'right' 	 	 	 IG
60	straight	→	right (vs. left)	Accepted	IG	Polysemy	Farsi	fars1255	раст	 'straight' 	'right' 	 	 ПРС 386.	 IG
61	straight	→	correct (adj.)	Accepted	IG	Polysemy	Bagvalal	bagv1239	bitt'ub	 'straight, even' 	'correct, true' 	 	 БРС 91	 DG
62	summer	—	year	Accepted	IG	Polysemy	Romani	oma1329 	berš	 'summer' 	'year' 	 	 Dolenjski Romani	 DG
63	storm	→	winter	Accepted	IG	Polysemy	Komi	komi1267	тöв	 'wind' 	'winter' 	 	 КомиРС 646	 MR
64	to burst, break	—	to die, pass away	Suspended	IG	Polysemy	Gagauz	gaga1249	çatla-	 'to burst, to crack' 	'to die (animal)' 	 	 	 IG
65	noon	→	south	Accepted	IG	Polysemy	Romanian	oma1329 	amiază	 'noon, midday' 	'South (obs.)' 	 	 DRRS 1, 86, DEX98. From the Lat. medi die, from which also the Class. Lat. meridies has been derived DER 37	 MR
66	to make noise	→	to speak	Accepted	IG	Semantic evolution	Russian	russ1263	galdet'	 'to clamor, to make a racket' 	Russian 	 	 the second meaning is dialectal (Simbirsk, Penza) СРНГ 6, 107	 MR
67	light, bright	→	comprehensible	Accepted	LG	Polysemy	Lithuanian	lith1251	áiškus	 'light, clear' 	'clear' 	 	 LRŽ 20	 MR
68	morning	—	tomorrow	Accepted	IG	Derivation	Yakut	yaku1245	сарсыарда	 'morning' — 		 	 ЯРС 317.	 IG
69	hot	→	recent	Accepted	LG	Derivation	Tuvan	tuvi1240	изиг	 'hot'  		 	 	 IG
70	when	—	if	Accepted	IG	Polysemy	Russian	russ1263	kogda	 'when (temrporal conjunction)' 	'if, whether' 	 	 	 IG
71	part	→	fate	Accepted	IG	Polysemy	Akkadian	akka1240	isḳu	 ''share (a portion of land, property or booty, etc.)''' 	''lot, fortune, fate, destiny''' 	 	 CAD I 198-201	 MB
72	flower	—	colour	Accepted	IG	Cognates	Old Slavonic	chur1257	цвѣтъ	 'flower'   Russian 	flower	 	 	 IG
73	sweet (taste)	→	fresh (of water)	Accepted	IG	Polysemy	Latin	lati1261	dulcis	 'sweet' 	'sweet water' 	 	 Glare 578	 IG
74	spruce (Picea)	—	abies (Abies)	Accepted	IG	Syncretism	English	stan1293	fir	 'fur tree' 	'silver fir' 	 	 Also Silver Fir.	 TM
75	morning	→	spring (season)	New	IG									
76	branch, twig	—	willow	Accepted	IG	Derivation	Russian	russ1263	vetv'	 'branch'  		 	 In (Фасмер 1,306-307) these lexemes are claimed to be related.	 IG
77	to listen	—	to keep silent	New	IG	Polysemy	Hungarian	hung1274	hallgat-	 'to listen' 	'to be silent' 	 	 Венгерско-русский словарь.	 IG
78	to burst, break	→	to be angry	Suspended	IG	Polysemy	Gagauz	gaga1249	çatla-	 'to burst, to crack' 	'to spit fire, to fulminate' 	 	 ГРМС 531.	 IG
79	to turn, rotate (tr.)	→	to distort	Accepted	IG	Derivation	Russian	russ1263	vraščat'	 'to spin, to rotate'  		 	 	 IG
80	to turn, rotate (tr.)	→	to translate	Accepted	IG	Polysemy	Amharic	amha1245	gäläbbäṭä	 'to overturn, turn upside down, invert' 	'to translate from one language to another' 	 	 (K 1890).	 MB
81	to pull	→	inclination to smth	Accepted	IG	Derivation	Russian	russ1263	tjanut'	 'to pull, to draw'  		 	 	 All
82	to pull	—	to endure	Suspended	IG	Polysemy	Gagauz	gaga1249	çek-	 'to pull, to draw, to drag' 	'to stand, to bear' 	 	 ГРМС 536. The same in Turk. Çek- ТуРС 177.	 IG
83	to pull	—	to row (with oars)	New	IG	Polysemy	Gagauz	gaga1249	çek-	 'to pull, to draw, to drag' 	'to row' 	 	 ГРМС 536. The same in Turk. çek- ср. kürek çek- 'грести веслами' ТуРС 177. It possibly belongs to a more general path type 'to pull' - 'to hit, to strike'. I.e. To row = to strike with paddles. Cf. sopa çek- to beat with a stick.	 IG
84	to dig	—	to row (with oars)	Suspended	IG	Cognates	Old Slavonic	chur1257	грести	 'to dig'   Russian 	to dig	 	 Проверить старослав. значение.	 IG
85	to sweep	→	to distract	Suspended	IG	Polysemy	Gagauz	gaga1249	çel-	 'to sweep' 	'to reject, to distract' 	 	 ГРМС 537.	 IG
86	to call (somebody), to make respond	—	to cause	Accepted	All	Polysemy	Russian	russ1263	vyzyvat'	 'to call' 	'to cause' 	 	 	 All
87	moist, humid	—	raw	Accepted	IG	Polysemy	Russian	russ1263	syroj	 'humid' 	'raw' 	 	 	 IG
88	moist, humid	→	inexperienced	Suspended	IG	Polysemy	Gagauz	gaga1249	çii	 'wet, humid' 	'green, unexperienced' 	 	 	 IG
89	moist, humid	→	weak	New	IG	Polysemy	Gagauz	gaga1249	çii	 'humid, damp' 	'weak' 	 	 ГРМС 542.	 IG
90	lightning	↔	quick	Accepted	IG	Polysemy	Mandarin Chinese	mand1415	zĭ-diàn	 'violet lightning' 	'flash like' 	 	 БКРС 14402	 MR
91	poor	—	desert (n.)	Suspended	IG	Polysemy	Gagauz	gaga1249	çol	 'poor' 	'desert, bare, desert' 	 	 ГРМС 549.	 IG
92	to go out	—	to cost	New	IG	Polysemy	Gagauz	gaga1249	çık-	 'to go out' 	'to cost' 	 	 	 IG
93	to go out	→	to fade, lose colour	Suspended	IG	Polysemy	Gagauz	gaga1249	çık-	 'to go out' 	'to fade (paint)' 	 	 ГРМС 557.	 IG
94	to go out	→	to dislocate (of a joint)	Suspended	IG	Polysemy	Gagauz	gaga1249	çık-	 'to go out' 	'to dislocate' 	 	 ГРМС 557. The same in Turk. Çık- ТуРС 186-187.	 IG
95	to go out	—	to become infected	Suspended	IG	Polysemy	Amharic	amha1245	wäṭṭa	 'to go out, go outside' 	'to take (vaccine), to have had an illness which immunizes one from that illness, e.g. smallpox' 	 	 (K 1583-1585): the meaning B requires an impersonal verb, and the logical subject is expressed through a pronominal suffix atteched through a benefactive suffix -ll- (lit. 'it went out for him').	 MB
96	inflated	→	proud	Accepted	IG	Derivation	Old Slavonic	chur1257	дѫти, дъмѫ	 'to blow' → 		 	 Черных 1, 557. Cf. Pol. duma 'pride'	 MR
97	cold (adj.)	→	to fear	Accepted	IG	Polysemy	Serbo-Croatian	out1528 	zepsti	 'to freeze' 	'to be afraid' 	 Толстой 1976: 156	 In other Slavic languages, cognate verbs only have the original meaning 'freeze', 'shiver', cf. Russian zjabnut' (Vasmer II: 111).	 DG
98	hard, solid	→	obstinate	Accepted	IG	Polysemy	Tibetan	tibe1272	kyong-kyong	 'hard' 	'stubborn, persistent' 	 	 	 IG
99	to search, to look for	—	to ask, beg	Accepted	DG	Polysemy	Geez	geez1241	ḫaśśaśa	 'seek, look for' 	'demand, entreat' 	 	 Haser 2000, 182: LLA 584-585	 MR
100	top	—	beginning	Accepted	IG	Polysemy	Tibetan	tibe1272	kyīd	 'up, above, at the top' 	'beginning, in the beginning' 	 	 Рерих I, 84.	 IG
101	white	—	clever	Suspended	IG	Polysemy	Tibetan	tibe1272	dkar-po	 'white, bright' 	'wise, talented' 	 	 Рерих I, 95.	 IG
102	white	—	silver	Accepted	IG	Derivation	Classical Arabic	stan1318	ʔabyaḍ-	 'white' → 		 	 BK I 184: the lexeme bayḍāʔ- - is a nominalized feminine adjective, lit. 'white': it is used mainly in poetic texts.	 MB
103	white	—	iron	New	TM	Cognates	Lezgian	lezg1247	lacːu	 'white'   Archi 	white	 	 Meaning А is present also in Tabassaran, Rutul, Kryz, Budukh.	 TM
104	centre	—	surface	Suspended	IG	Polysemy	Tibetan	tibe1272	dkyil	 'center, middle' 	'surface (flat)' 	 	 Рерих I, 102.	 IG
105	untruth	—	bold, insolent	Suspended	IG	Polysemy	Tibetan	tibe1272	dkyus	 'lie' 	'impudent' 	 	 	 IG
106	to mix, stir	—	to worry, be agitated	Accepted	IG	Polysemy	Yakut	yaku1245	аймаа-	 'to mix, to stir, to decant' 	'to excite, to thrill' 	 	 ЯРС 34.	 IG
107	thief	—	enemy	Suspended	IG	Polysemy	Tibetan	tibe1272	rkun-dpon	 'thief, robber' 	'enemy' 	 	" Рерих I, 136. According to the derivation, the source meaning is that of ""thief, robber"""	 IG
108	lean	—	greedy	Suspended	IG	Polysemy	Tibetan	tibe1272	rke-ba	 'lean' 	'stingy, mean' 	 	 Рерих I, 136-137.	 IG
109	time	—	opportunity	Accepted	IG	Polysemy	Akkadian	akka1240	simanu	 'time' 	'season, proper time' 	 	 CAD S 268.	 MB
110	dry	—	emotionless	Accepted	IG	Polysemy	Russian	russ1263	suhoj	 'dry, not wet' 	'dry speech' 	 	 	 All
111	to shake	→	to distort	New	IG	Polysemy	Mongolian (Khalkha)	halh1238	guyvuula-	 'to shatter, to stagger' 	'to distort' 	 	 БАМРС	 IG
112	oar	—	shoulder-blade, scapula	Suspended	IG	Polysemy	Tibetan	tibe1272	skya	 'shoulder blade' 	'paddle' 	 	 Рерих I, 178. The direction cannot be established. There are many derivatives meaning 'to row, a rower'.	 IG
113	to throw	—	to leave	Accepted	IG	Polysemy	Yakut	yaku1245	кэбис-	 'to throw, to cast, to launch' 	'to leave' 	 ЯРС 216	 	 IG
114	to deliver (a child)	—	to cause	Accepted	IG	Polysemy	Japanese	nucl1643	umu (生む)	 'to give birth to' 	'to lead to, to result in' 	 	 EDICT.	 IG
115	quick	—	skilful, dexterous	Accepted	IG	Polysemy	Amharic	amha1245	ḳälṭaffa	 'rapid, prompt, agile, quick' 	'deft, efficient' 	 	 (K 695).	 MB
116	to carry	—	to send	New	IG	Polysemy	Tibetan	tibe1272	skyel-ba	 'to carry, to trasnport' 	'to send' 	 	 	 IG
117	to turn, rotate (intr.)	—	shoulder-blade, scapula	Suspended	IG	Derivation	Tibetan	tibe1272	skyogs-pa	 'to turn'  		 	 Рерих I, 209, 210.	 IG
118	corner	→	gulf	New	IG	Polysemy	Mongolian (Khalkha)	halh1238	bulan	 'corner (inner)' 	'gulf, bay, backwater, cape' 	 	 БАМРС. A Tibetan calque?	 IG
119	merry, funny, cheerful	—	profligate, womanizer	Accepted	IG	Polysemy	Tibetan	tibe1272	khrul-po	 'vivacious, cheerful' 	'adulterer' 	 	 Cf. also khrul-ma 'prostitute'.	 IG
120	to shrink	→	to understand	New	IG	Polysemy	Tibetan	tibe1272	akhum-pa	 'to contract, to tighten' 	'to understand, to grasp' 	 	 Рерих I, 351.	 IG
121	to turn, rotate (intr.)	—	to reincarnate	New	IG	Polysemy	Tibetan	tibe1272	akhur-po	 'to turn, to spin, to go in circles' 	'to personate, to transfrom' 	 	 Рерих I, 355.	 IG
122	mud	—	deception	New	IG	Polysemy	Tibetan	tibe1272	rdzab-rdzub	 'dirt, mud, dirty' 	'lie, fraud, false, delusive' 	 	 Рерих VIII,36.	 IG
123	to press down	→	to guess	New	IG	Polysemy	Tibetan	tibe1272	rdzi-ba	 'to press, to squeeze' 	'to oppress' 	 	 Рерих VIII, 38.	 IG
124	flower	→	fire	New	IG	Polysemy	Tibetan	tibe1272	shugs-dog	 'flower' 	'flame, tongue of flame' 	 	 Рерих VIII, 81.	 IG
125	eunuch	—	woman	Suspended	IG	Polysemy	Tibetan	tibe1272	ca-ma	 'castrate' 	'woman' 	 	 Рерих VIII, 129.	 IG
126	planet	—	week	New	IG	Polysemy	Tibetan	tibe1272	gzā	 'planet' 	'week' 	 	 Рерих VIII, 168.	 IG
127	sun	→	Sunday	Accepted	IG	Polysemy	Thai	thai1261	ā-thit	 'sun' 	'Sunday' 	 	 Morev 1964, 884	 MR
128	Venus	→	Friday	Accepted	IG	Polysemy	Mongolian (Khalkha)	halh1238	baasan	 'the planet Venus' 	'Friday' 	 	 БАМРС. Calque from Tibetan.	 IG
129	Saturn	—	Saturday	Accepted	IG	Derivation	Khmer	khme1253	saw	 'Saturn' → 		 	 Gorgoniev 1984, 734	 MR
130	Jupiter	→	Thursday	Accepted	IG	Polysemy	Tibetan	tibe1272	gzā-phur-ba	 'the planet Jupiter' 	'Thursday' 	 	 Рерих VIII, 170.	 IG
131	Mars	→	Tuesday	Accepted	IG	Polysemy	Mongolian (Khalkha)	halh1238	Myagmar	 'the planet Mars' 	'Tuesday' 	 	 БАМРС. In both meanings borrowed from Tibetan.	 IG
132	moon	—	Monday	Accepted	IG	Polysemy	Mongolian (Khalkha)	halh1238	Davaa	 'moon' 	'Monday' 	 	 БАМРС. In both meanings borrwed from Tibetan.	 IG
133	Mercury	—	Wednesday	Accepted	IG	Polysemy	Lao	laoo1244	pʰut3	 'Mercury' 	'Wednesday' 	 	 Morev et al. 1982, 673	 MR
134	shine (n.)	—	fame	Accepted	IG	Polysemy	Tibetan	tibe1272	brjid	 'glitter, shine, glisten' 	'glory' 	 	 Рерих 3, 216-217.	 IG
135	clever	—	attentive	New	IG	Polysemy	Tibetan	tibe1272	gzob-pa	 'intelligent: smart' 	'cautious' 	 	 Рерих VIII, 188.	 IG
136	to grasp, seize	→	inclination to smth	New	IG	Polysemy	Tibetan	tibe1272	gzung-ba	 'grasped' 	'interest, disposition, predilection' 	 	 Рерих VIII,182.	 IG
137	to suffer	—	to endure	New	IG	Polysemy	Tibetan	tibe1272	bze-re	 'suffering, torment, pain' 	'patience' 	 	 Рерих VIII, 192. Cf. also bzod-pa 'to suffer, to stand, to bear'.	 IG
138	to endure	—	to forgive	New	IG	Polysemy	Tibetan	tibe1272	bzod-pa	 'to suffer, to stand, to bear: patience' 	'to forgive' 	 	 Рерих VIII, 197.	 IG
139	opposite	→	false, wrong	New	IG	Polysemy	Tibetan	tibe1272	bzlog-pa	 'opposite, reverse' 	'false, wrong' 	 	 Рерих VIII, 200.	 IG
140	to take prisoner	→	to charm, to delight	Accepted	MB	Polysemy	Romanian	oma1329 	a cuceri	 'to conquer, to capture, to take hold' 	'to captivate, to conquer' 	 	 cf. the adjective cuceritor 'charming': zâmbet cuceritor 'charming smile'.	 MR
141	to drag	→	to charm, to delight	Accepted	MB	Polysemy	Swahili	swah1253	vuta	 'to pull, to draw, to drag' 	'to attract' 	 	 Polikanov	 MR
142	to close one's eyes	→	to die, pass away	New	IG	Polysemy	Russian	russ1263	smežitoči	 'to close one's eyes' 	'to die' 	 	 контексты получше надо найти	 IG
143	to close one's eyes	—	to ignore, not to greet somebody	New	IG	Polysemy	Mongolian (Khalkha)	halh1238	nüd ani-	 'to close one's eyes' 	'to ignore' 	 	 БАМРС	 IG
144	to bind to	—	to love	New	IG	Derivation	Russian	russ1263	privjazat'sja	 'to become attached' → 		 	 	 IG
145	opening, hole	→	genitalia	New	IG	Polysemy	Mongolian (Khalkha)	halh1238	süv	 'hole' 	'genitals' 	 	 БАМРС	 IG
146	shame	→	genitalia	Accepted	IG	Derivation	Ancient Hebrew	anci1244	bwš (qal)	 'to be ashamed (sich schaemen: HALAT 112)' → 		 	 Lexeme Б is hapax legomenon	 MB
147	egg	—	testicle	Accepted	IG	Polysemy	Mandarin Chinese	mand1415	dăn	 'egg' 	'testicle (anat.)' 	 	 БКРС 15220	 MR
148	nut, hazel	→	testicle	New	IG	Polysemy	English	stan1293	nut	 'nut' 	'man's testicles' 	 	 	 DG
149	potato	→	testicle	New	IG	Polysemy	Mongolian (Khalkha)	halh1238	töms	 'potatoes, potato' 	'egg (anat.)' 	 	 БАМРС	 IG
150	to clean	→	to cure, treat (medically)	New	IG	Polysemy	Mongolian (Khalkha)	halh1238	arilga-	 'to clean' 	'to heal' 	 	 	 IG
151	fire	→	Tuesday	Accepted	IG	Derivation	Mongolian (Khalkha)	halh1238	gal	 'fire' → 		 	 	 IG
152	water	→	Wednesday	New	IG	Derivation	Japanese	nucl1643	水	 'water' → 		 	 	 IG
153	tree	→	Thursday	Suspended	IG	Derivation	Japanese	nucl1643	木 (ki)	 'tree' → 		 	 	 IG
154	metal	→	Friday	Suspended	IG	Derivation	Japanese	nucl1643	金 (kane)	 'metal' → 		 	 	 IG
155	earth	→	Saturday	New	IG	Derivation	Japanese	nucl1643	土(tsuchi)	 'earth' → 		 	 	 IG
156	hot	→	spicy	New	IG	Polysemy	Mongolian (Khalkha)	halh1238	haluun	 'hot' 	'spicy' 	 	 БАМРС.	 IG
157	tasteless	→	boring	New	IG	Polysemy	German	stan1295	fade	 'tasteless, insipid' 	'dull, uninteresting (colloq.)' 	 	 	 MB
158	narrow	→	sad	New	IG	Derivation	Mongolian (Khalkha)	halh1238	uytan	 'narrow, tight'  		 	 БАМРС.	 IG
159	young	→	husband	New	IG	Cognates	Mongolian (Khalkha)	halh1238	залуу	 'young: young man'  → Kalmyk 	young: young man	 	 	 IG
160	warm	→	gay	Accepted	IG	Derivation	German	stan1295	schwül	 'warm, stuffy' → 		 	 	 All
161	near	→	cheap	New	IG	Polysemy	Mongolian (Khalkha)	halh1238	tösör	 'nearest, shortest' 	'cheap' 	 	 БАМРС.	 IG
162	to drive, to force to move on	→	to tell lie	New	IG	Polysemy	Mongolian (Khalkha)	halh1238	tuu-	 'to chase, to goad, to drive' 	'to lie' 	 	 	 IG
163	to return (tr.)	→	to answer	Accepted	IG	Polysemy	Quechua	quec1387	kutichiy	 'to give back, to return' 	'to respond' 	 	 BOLIVIAN QUECHUA - ENGLISH DICTIONARY By Philip S. Lott (2000)	 IG
164	to turn, rotate (intr.)	→	to return (intr.)	Accepted	AZ	Polysemy	Portuguese	port1283	tornar	 'to spin' 	'to return' 	 	 ###Надо проверить, есть ли значение 'возвращать'. Вставить примеры и аксаны	 TM
165	skirt	→	whore	New	IG	Polysemy	Mongolian (Khalkha)	halh1238	banʒal	 'skirt, lama's apron' 	'prostitute: lascivious' 	 	 БАМРС.	 IG
166	skirt	—	woman	Suspended	IG	Polysemy	Italian	ital1282	gonna	 'skirt' 	'woman (fig.)' 	 	 	 MR
