,article,lang
68,"Písek District (Czech: Okres Písek) is a part of the South Bohemian Region of the Czech Republic. Its centre is Písek. It has around , inhabitants and area of ,. km². People density is  heads per  km². In this region we can find  villages and  towns. The neighbouring districts are: České Budějovice District, Tábor District and Strakonice District, from the South Bohemian Region, Příbram District and Benešov District from the Central Bohemian Region.


 Towns 
Milevsko
Mirotice
Mirovice
Písek - administrative centre (court, district hospital etc.)
Protivín


 Villages 
Albrechtice nad Vltavou
Bernartice
Borovany
Boudy
Božetice
Branice
Cerhonice
Chyšky
Čimelice
Čížová
Dobev
Dolní Novosedly
Dražíč
Drhovle
Heřmaň
Horosedly
Hrazany
Hrejkovice
Jetětice
Jickovice
Kestřany
Kluky
Kostelec nad Vltavou
Kovářov
Kožlí
Králova Lhota
Křenovice
Křižanov
Kučeř
Květov
Lety
Minice
Mišovice
Myslín
Nerestce
Nevězice
Okrouhlá
Olešná
Orlík nad Vltavou
Osek
Oslov
Ostrovec
Paseky
Podolí I
Přeborov
Předotice
Přeštěnice
Probulov
Putim
Rakovice
Ražice
Sepekov
Skály
Slabčice
Smetanova Lhota
Stehlovice
Tálín
Temešvár
Topělec
Varvažov
Veselíčko
Vlastec
Vlksice
Vojníkov
Vráž
Vrcovice
Záhoří
Zbelítov
Zběšičky
Žďár
Zhoř
Zvíkovské Podhradí",eng
69,"The mastery and pleasure technique is a method of cognitive behavioral therapy for the treatment of depression. Aaron T. Beck described this technique first. The technique is useful when patients are active, but have no pleasure. The patients shall rate on a -point-scale (or a -point-scale) how much pleasure they have and how successful they are, when they do something. The patients record this hourly.
The patients shall learn ""to recognize partial successes and small degrees of pleasure"" because depressive patients tend to the cognitive distortion of all-or-nothing thinking.
The patients can also learn that Mastery and Pleasure are independent. By the combination of rating mastery and pleasure unrealistic ideas like ""Life should be all fun"" or ""The only thing worth spending time on is work to accomplish things."" can be challenged.
Lewinsohn has the theory that patients need reinforcers to feel good. The idea is that patients can get reinforcers from activities, but they ""want to wait for their mood to lighten before engaging in activities."" So Beck asks clients to perform activities as a behavioral experiment. The patients can then increase systematically the activities with higher ratings of mastery and pleasure and look for new activities.


 References ",eng
70,"Welcome Home, Soldier Boys is a  American drama film directed by Richard Compton and written by Guerdon Trueblood. The film stars Joe Don Baker, Paul Koslo, Alan Vint, Elliott Street, Jennifer Billingsley and Billy ""Green"" Bush. The film was released on September , , by th Century Fox.


 Plot 


 Cast 
Joe Don Baker as Danny
Paul Koslo as Shooter
Alan Vint as Kid
Elliott Street as Fatback
Jennifer Billingsley as Broad
Billy ""Green"" Bush as Sheriff
Geoffrey Lewis as Francis Rapture
Francine York as Lydia
Timothy Scott as Mike
Lonny Chapman as Danny's Father
Florence MacMichael as Danny's Mother
Cherie Foster as Gloria
Beach Dickerson as Used Car Salesman
Ted Markland as Hick #
Joel Lawrence as Trooper
Luanne Roberts as Charlene
Damienne Oliver as Ruby


 See also 
List of American films of 


 References 


 External links 
Welcome Home, Soldier Boys on IMDb
Welcome Home, Soldier Boys at Rotten Tomatoes",eng
71,"Kietlice [kʲɛˈtlit͡sɛ] (German: Kittlitz) is a settlement in the administrative district of Gmina Węgorzewo, within Węgorzewo County, Warmian-Masurian Voivodeship, in northern Poland, close to the border with the Kaliningrad Oblast of Russia.
Before , the area was part of Germany (East Prussia).


 References ",eng
72,"Nursery Independent School District is a public school district based in the community of Nursery, Texas (USA).
The district has one school - Nursery Elementary - that serves students in grades kindergarten through five.
Middle and high school students attend the neighboring districts of Cuero and Victoria.
In , the school district was rated ""recognized"" by the Texas Education Agency.


 References 


 External links 
Nursery ISD",eng
73,"Sommariva del Bosco is a comune (municipality) in the Province of Cuneo in the Italian region Piedmont, located about  kilometres ( mi) south of Turin and about  kilometres ( mi) northeast of Cuneo. As of  January , it had a population of   and an area of . square kilometres (. sq mi).
Sommariva del Bosco borders the following municipalities: Baldissero d'Alba, Caramagna Piemonte, Carmagnola, Cavallermaggiore, Ceresole Alba, Racconigi, Sanfrè, and Sommariva Perno.


 Twin towns — sister cities 
Sommariva del Bosco is twinned with:
 Porteña, Argentina, since 


 References ",eng
74,"The Douglas Arterial Road is a four-lane motorway located in Townsville, Queensland. The road is commonly known by locals as either the Ring Road (which is the name the project goes under) or the Douglas Motorway. The road was the first stage of the Townsville Ring Road which is the future National Highway route through Townsville.
The . kilometres (. mi) Douglas Arterial features two newly constructed dual carriageways being separated by concrete barriers built in . It also features a six-lane,  metre bridge across the Ross River and Riverway Drive which was constructed upstream of the existing Vickers Bridge named after the famous vickers family, along with a two-lane bridge over Discovery Drive and University Creek. The grade-separated interchanges at University Road and Angus Smith Drive were also duplicated.
As with the existing Douglas section, the arterial comprises two . metre-wide lanes with two  metre-wide shoulders (a total of  metres wide). It is built as a motorway with a speed limit of  km/h and the usual restrictions (no mopeds, animals, farm vehicles, cyclists or pedestrians) will apply. New exits and entry ramps were constructed on the Riverside Boulevard overpass connecting the suburb to the Arterial thus reducing travel time for people living in the area in having to connect via Angus Smith Drive.
The road cuts travelling times between the suburbs of Condon and Douglas (and subsequently the Townsville Hospital and James Cook University which are located in Douglas), by potentially  minutes. The old route to Douglas via Riverway Drive and Ross River Rd went through multiple sets of traffic lights, and was, in peak traffic, a -minute drive from Condon, but with the Douglas Arterial open, the trip now only takes close to four minutes. However, in practice, due to congestion at the on and off ramps/traffic lights at peak times, the time saving is closer to  minutes. The speed limit on the road is  km/h.
Stage  and  are now complete. The road beyond the Douglas stretch - the Townsville Ring Road is a single carriageway and has now been designated at the A, bypassing Townsville.


 See also 

Freeways in Australia
Freeways in Townsville
Douglas duplication reference",eng
75,"The discovery of norbornene-mediated meta-C-H activation was first published by Jin-Quan Yu and co-workers at The Scripps Research Institute in March . Almost simultaneously, Guangbin Dong and co-workers reported a similar meta-C−H arylation reaction in April. Following an analogous Catellani reaction pathway, norbornene was used as a transient mediator to enable meta-C-H activation. With modified norbornenes and different ligands, more transformations were being reported in the past few years.


 Reaction mechanism 

The key to this special reactivity is a catalytic system formed by a palladium species and a rigid and strained olefin, such as norbornene.
The amide-directed norbornene-mediated meta-C-H activation reaction may proceed via an initial amide-directed ortho C−H activation to generate palladacycle , which undergoes carbopalladation of norbornene and meta-C−H activation to afford palladacycle . Following an analogous Catellani reaction pathway — that is, oxidative addition, reductive elimination and retro-carbopalladation of norbornene — palladacycle  with a functionalized meta position is formed. Final protonation then delivers the desired products.


 Development 

In March , inspired by the success of achieving unique site selectivities through Catellani-type transformations, a norbornene-mediated palladium-catalyzed meta-C–H alkylation and arylation with an ortho-directing amide group was reported by Yu and co-workers. The use of a newly developed pyridine-based ligand is crucial for relaying the palladium catalyst to the meta position by norbornene after initial ortho-C–H activation, whereas side reactions such as ortho-C−H functionalization and reductive elimination of palladacycle to form benzocyclobutene was minimized.

Almost simultaneously, Dong reported a similar meta-C−H arylation reaction using dimethylamine as the directing group and commercially available AsPh as the ligand. In addition to benzylamine derivatives, protected pyrrole- and pyridine-derived substrates can also be employed. However, aryl iodides are limited to those containing an ortho electron-withdrawing group.
After the first discovery, a number of variations and new transformations were reported.

In August , Yu and co-workers identified -Carbomethoxynorbornene as a more effective transient mediator to promote a Pd(II)-catalyzed meta-C(sp)−H alkylation and arylation. The design of a more reactive norbornene is the key to better reactivity, and the use of a tailor-made quinoline ligand is also crucial for this reaction to proceed. Using the modified norbornene, meta-arylation with a broad range of aryl iodides proceeded smoothly, overcoming previous limitation that aryl iodide coupling partners without ortho-coordinating groups are usually not compatible. Notably, the -Carbomethoxynorbornene became commercially available shortly after this report.

In April , Zhao and co-workers discovered the first bidentate directing group assisted meta arylation of β-arylethylamine derivatives via palladium/norbornene catalysis. Oxalyl amide was used as a bidentate directing group. This meta arylation also proceeds well with thiophene derivatives, giving the corresponding products in satisfactory yields.

In July , Yu and co-workers reported the development of a new class of ligands which enabled the meta-C−H arylation of anilines, heterocyclic aromatic amines, phenols, and -benzyl heterocycles using norbornene as a transient mediator. Meta-C−H arylation with heterocyclic aryl iodides as coupling partners is also realized for the first time. the identification of highly versatile -acetylamino--hydroxypyridine ligands is the key to this catalysis.

In October , meta-C−H amination, alkynylation, as well as chlorination of aniline and phenol substrates were reported by Yu and co-workers. Both the identification of a monoprotected -amino--hydroxypyridine-type ligand and the use of a modified norbornene as a mediator are crucial for the realization of these three unprecedented meta-C−H transformations. Subsequent diverse transformations of the chlorinated products also demonstrate the versatility of meta-C−H chlorination.

In January . The interannular meta-selective C–H arylation of biaryl-- trifluoroacetamides using Pd(II)/norbornene catalysis is reported by Shi and co-workers. The judicious choice of an appropriate protecting group (PG), trifluoroacetyl, is crucial for the interannular selectivity.
Meta-selective C−H arylation of nosyl-protected phenethylamines, benzylamines, and ‑aryl anilines were reported by Yu and co-workers in December . Arylation, amination, and chlorination of benzylamines were also realized in March .


 References 


 External links 
Catellani reaction
Yu Group Publication",eng
76,"Up the Down Staircase is a  American drama film about the first, trying assignment for a young, idealistic teacher played by Sandy Dennis. Robert Mulligan directed the film and Tad Mosel wrote the screenplay adaptation of the novel of the same name by Bel Kaufman.


 Plot 
The film's title is a reference to the staircases inside a public, overcrowded New York City high school of , students, many of them troubled. Sylvia Barrett, fresh out of graduate school, has just been hired to teach English to the teens in this place, who come from various races and ethnicities. Many are undisciplined; a few are hanging with gangs. She is disheartened that she came to teach but finds that her time seems burdened with the school's required regulations, daily reporting and other paperwork. Her students also seem continually disruptive and playful. Student Alice has a crush on a male teacher and narrowly avoids death after jumping out a school window; Student Linda gets a black eye from her father. Student Joe is on court probation, with a high I.Q. but a mixed academic record, testing her patience; student Roy works nights and falls asleep in class. Not everyone is agreeable with Sylvia's quiet approach to the situation, but she intends to get the teens to become good students and get them into real learning. She succeeds finally in getting them into a lively discussion about classic literature (comparing ""the best of times ... the worst of times"" to their own lives), followed by a lively mock trial, before weighing whether to continue or resign from her position.


 Cast 
Sandy Dennis as Sylvia Barrett, English teacher
Patrick Bedford as Paul Barringer, English teacher and unpublished writer
Eileen Heckart as Henrietta Pastorfield, English teacher
Ruth White as Beatrice Schachter, teacher and soon Miss Barrett's mentor
Jean Stapleton as Sadie Finch, school office staff
Sorrell Booke as Dr. Bester, school principal
Roy Poole as Mr McHabe, school vice-principal
Florence Stanley as Ella Friedenberg, guidance counselor
Vinnette Carroll as The Mother, student Roy Atkins' guardian, Mrs. Lewes
Salvatore Rasa as Harry A. Kagan, student council president
John Fantauzzi as Eddie, a student who drops out
Maria Landa as Carole Blanca, Alice's friend
Lewis Wallach as Lou Martin, the class clown
Jose Rodriguez as Jose Rodriguez, introverted student who blossoms in mock trial
Ellen O'Mara as Alice Blake, student with crush on Mr. Barringer
Jeff Howard as Joe Ferone, an intelligent student admitted on school probation


 Production 

Sandy Dennis took the role of Sylvia Barrett after winning an Academy Award for Best Supporting Actress for her performance in Who's Afraid of Virginia Woolf? This was her first and only film with producer Alan J. Pakula and director Robert Mulligan. The film also featured early appearances from Bud Cort and Jean Stapleton. Cort later did other films: he is best known as the suicidal youth who meets a vivacious Holocaust survivor in Harold and Maude. Jean Stapleton would land the pivotal role of Edith Bunker on the TV show All in the Family.
The film was entered into the th Moscow International Film Festival where Sandy Dennis won the award for Best Actress.
Outdoor street scenes were filmed on st Avenue and th Street in East Harlem. The outdoor school scenes were filmed on the same block, at Junior High School  at  East th Street (now the Renaissance Charter High School for Innovation). Some indoor school and classroom scenes were filmed at the former Haaren HS on th St and th Ave (today's John Jay College of Criminal Justice), and a production studio in Chelsea.


 Response 
The film was well received by critics, many of whom praised Sandy Dennis's performance. Later in the year, it would be eclipsed by another movie about teaching, the megahit To Sir, With Love starring Sidney Poitier.


 See also 
List of American films of 


 References 


 External links 
Up the Down Staircase at the TCM Movie Database
Up the Down Staircase on IMDb",eng
77,"Seth Irunsewe Kale MBE, OON, CFR (June ,  – ) was a Nigerian Anglican bishop who served as Principal of CMS Grammar School, Lagos from  to  and as Bishop of Lagos from  to .


 References 


 Bibliography 
Folarin Coker (). The Rt. Reverend Seth Irunsewe Kale. CSS Press.",eng
78,"HD  is an th magnitude G-type main sequence star located approximately  light years away in the constellation Dorado. This star is larger, cooler, brighter, and less massive than our Sun. Also its metal content is . times as much as the Sun. In , a gas giant planet was found in orbit around the star.


 See also 
List of extrasolar planets


 References ",eng
79,"Pierre-Yves André (born  May  in Lannion, Côtes-d'Armor) is a retired French footballer. He spent most of his career playing for SC Bastia, and retired after the club suffered relegation to the French third tier following the – season.
In , André had a six-month loan spell at the English club Bolton Wanderers and successfully helped the side stave off relegation.


 References 


 External links 
Pierre-Yves André – French league stats at LFP",eng
80,"Harry Slatkin (born August , ) is an American businessman, entrepreneur and philanthropist.
The New York Times called him the ""king"" of home fragrance  and celebrities like Oprah Winfrey and Elton John defer to him when it comes to home fragrance. Founder and creative force behind Slatkin & Co, a home fragrance brand, Slatkin is regarded as one of the country's fragrance experts.
A former Bear Stearns Director, he created Slatkin & Co in . Launched at Saks Fifth Avenue, the brand was picked up by specialty retailers Neiman Marcus, Bergdorf Goodman, Barneys and international stores like Harrods in London, Villa Moda in Dubai and Joyce in Hong Kong. Fans of the brand included Martha Stewart, Ralph Lauren, Tory Burch, Elton John, the Christian Dior company, flocked to Slatkin to create home fragrance collections. In , retailer Les Wexner purchased Slatkin & Co. for Limited Brands (NYSE:LTD. He named Slatkin President of Home Design for Limited Brands as well as President of Slatkin & Co.
Slatkin is a contributing editor at Elle Décor Magazine and appears regularly on QVC. He has made guest appearances on such shows as CNN, The Martha Stewart Show, Extra TV, E! News, CNBC, ABC  and Comedy Central.
In June , Harry Slatkin along with The Labelux Group, acquired Belstaff, a British outerwear brand known for inventing the first water resistant wax cotton. Slatkin assumed the role of Chief Executive Officer and, in July , tapped Martin Cooper as Chief Creative Officer.
Today, Belstaff is headquartered in New York City and London and showrooms reside in London, New York and Milan.
Slatkin resides in Manhattan and East Hampton, New York. Slatkin and his wife serve on the boards of various non-profit organizations including Autism Speaks, Henry Street Settlement House, The New England Center for Children and NYCA (New York Collaborates for Autism), which Slatkin and his wife founded and then built the first charter school for autism in New York State. Harry along with his wife Laura partnered with Weil Cornell Medical College and Columbia University College of Physicians to open the Center For Autism and the Developing Brain.


 References 


 External links 
Official website",eng
81,"""Woman of the Year"" is the th episode of the second season of the American comedy television series Parks and Recreation, and the rd overall episode of the series. It originally aired on NBC in the United States on March , . In the episode, Ron is presented with a woman of the year award, much to the frustration of Leslie. Meanwhile, Tom tries to seek investors in a nightclub ownership share, and April helps Andy look for an apartment.
The episode was written by Norm Hiscock and directed by Jason Woliner. The script included a theme about the political nature of local awards. ""Woman of the Year"" featured guest appearances by Ben Schwartz as Jean-Ralphio and Ian Roberts as Ian Winston, both of whom have appeared in the series in past episodes. Rashida Jones, a regular Parks and Recreation cast member who plays Ann Perkins, did not appear in ""Woman of the Year"" because she was filming scenes for the David Fincher film The Social Network.
According to Nielsen Media Research, ""Woman of the Year"" was seen by . million viewers, which marked a continued recent improvement in ratings for the series. It tied a record set by the previous two episodes, ""Sweetums"" and ""Galentine's Day"", for the season's highest rating among viewers aged between  and . The episode received generally positive reviews, particularly for the character moments between Leslie and Ron.


 Plot 
The parks and recreation department receives a letter from the Pawnee chapter of the Indiana Organization of Women, which Leslie (Amy Poehler) believes is her congratulatory letter as the recipient of the group's Dorothy Everton Smythe Woman of the Year award. Much to her surprise and disappointment, however, the award has actually gone to Ron (Nick Offerman) in recognition of town projects Leslie primarily developed. Ron secretly acknowledges the award as a ridiculous mistake. However, he uses the mistake as an opportunity to tease Leslie before later recommending her as the award recipient. Ron constantly brags about the award, even commissioning a professional photographer to take his official portrait for the award ceremony. Eventually, Ron admits he is joking and attempts to recommend Leslie for the award. However, the IOW director (Maribeth Monroe) reveals that a man was strategically chosen for the first time for marketing purposes. Frustrated with the politics of the awards, Leslie and Ron plan for him to make a disparaging acceptance speech condemning the awards. However, at the ceremony itself, Ron instead publicly presents the award to Leslie, to the frustration of the IOW director and members. The next day's newspaper proclaims Ron the winner, with Leslie and Ron later deciding that the award is meaningless, anyway. The plaque is thrown into a wastebasket, where Leslie later secretly retrieves it.
In a subplot, Tom (Aziz Ansari) drops off a temporary liquor license renewal at the Snakehole Lounge nightclub, where the owner Freddy (Andy Milder) tells him they are seeking investors who can buy a share for $,. Although he does not have the money, Tom reveals part-ownership in a nightclub is a longtime dream of his, so he seeks assistance from his fast-talking friend, Jean-Ralphio (Ben Schwartz), who contributes $,. Tom has $, of his own but still needs $,, so he seeks further help from his co-workers. Donna (Retta) expresses an interest, but decides against it when she meets Jean-Ralphio, of whom she immediately declares, ""I hate that guy."" Meanwhile, when Andy's (Chris Pratt) band-mate Burly (Andrew Burlinson) tells Andy he can no longer live with him, April (Aubrey Plaza) helps Andy look for an apartment. They find one near her house, prompting a smitten April to note that they can carpool to work together. But when Andy learns Tom needs $,, he forgoes the apartment to give Tom the money as a gift. April is surprised by the choice and disappointed with the result. In the episode's final scene, Tom is shown enjoying his nightclub part ownership, until he learns Donna has bought three shares herself.


 Production 

""Woman of the Year"" was written by Norm Hiscock and directed by Jason Woliner. It featured a guest appearance by Ben Schwartz as Jean-Ralphio, a fast-talking playboy character introduced in ""The Set Up"". The episode also featured an appearance by comedian Ian Roberts, who worked with Amy Poehler on the Upright Citizens Brigade sketch comedy troupe. Roberts guest starred as Ian Winston, the coach of a girls' soccer coach who complains to Leslie about a lack of field space during the episode's cold open. Roberts previously appeared as the same character in the show's pilot episode. Rashida Jones, a regular Parks and Recreation cast member who plays Ann Perkins, did not appear in ""Woman of the Year"" because she was filming scenes for The Social Network, a David Fincher film about the founding of the social-networking website Facebook.
The ""Woman of the Year"" script included a theme about the political nature of awards, arguing despite the value and prestige people like Leslie assign to them, they are ultimately meaningless. Some commentators speculated this subplot served as a commentary about the meaninglessness of award ceremonies in the entertainment industry. ""Woman of the Year"" originally aired three days before the nd Academy Awards, prompting Entertainment Weekly to suggest it was a commentary about the Oscars, whereas others suggested the episode was a joke about how Parks and Recreation itself has failed to win any awards at the Golden Globes, Screen Actors Guild Awards or the Emmys.
Shortly after the episode aired, a copy of the ""Pawnee Journal"" newspaper article announcing Ron Swanson's Woman of the Year award win, which was featured within the episode, was posted in a downloadable form on the ""Pawnee, Indiana"" website set up by NBC.


 Cultural references 
Although the Woman of the Year award is formally named after the fictional feminist leader Dorothy Everton Smythe, who spent four years in jail for wearing pants on a Sunday, Ron mistakenly calls it the ""Dorothy Everytime Smurf Girl Trophy for Excellence in Female Stuff"", a reference to the cartoon, The Smurfs. During one scene, Ron said he is attracted to strong and powerful women, prompting Leslie to point out Ron indeed attends a shocking number of Women's National Basketball Association games. When Jean Ralphio tried to make a pass at April, she replied, ""Don't you work at Lady Foot Locker?"", a women's footwear retailer. Ron mistakenly refers to Leslie's Camp Athena as ""Camp Xena"", a reference to the protagonist from the fantasy adventure television series Xena: Warrior Princess. In seeking nightclub investments from his co-workers, Tom presents a computer presentation with photos of several celebrities, including reality television stars Jon Gosselin and Nicole ""Snooki"" Polizzi. In defending his financial gift to Tom, Andy calls it an investment and compares himself to businessman Warren Buffett, incorrectly pronouncing the nickname like a dinner buffet. Tom aspires to open his own club called ""Tom's Bistro"", a reference to Jack's Bistro, the restaurant Jack Tripper opens in the s and s sitcom, Three's Company.


 Reception 
In its original American NBC broadcast on March , , ""Woman of the Year"" was seen by . million viewers, according to Nielsen Media Research. It drew a . rating/ share among viewers between ages  and , matching a series-high rating in that age group shared with the episode ""Sweetums"" and ""Galentine's Day"". In overall viewers, ""Woman of the Year"" received a . rating/ share. This marked a continued recent improvement in ratings for the series, especially because ""Woman of the Year"" performed well despite direct competition from the popular reality television singing competition American Idol, which also aired during its time period.

""Woman of the Year"" received generally positive reviews. Sandra Gonzalez of Entertainment Weekly called ""Woman of the Year"" one of the best episodes of the second season, particularly complimenting the one-liner jokes and ensemble cast performances. Gonzalez said she particularly liked the ""big brother-little sister vibe"" between Leslie and Ron. The Star-Ledger television columnist Alan Sepinwall said ""Woman of the Year"" was well-executed because revealing to the viewers that Ron was going to tease Leslie made his pranks more humorous and less mean-spirited. Sepinwall also said the episode had several good moments for the supporting characters, including Andy's selfless act toward Tom and Donna's purchase of shares with the nightclub. The A.V. Club writer Steve Heisler said he liked that Ron genuinely cares for Leslie. Heisler said: ""If he resented Leslie as much as he hinted at during season one, it'd become an ongoing thorn in the show's foot that during every single episode. [...] Getting along is underrated in comedy.""
Steve Kandell of New York magazine said the episode felt like ""a bit of a place-holder"" compared to other episodes in the season, but that ""Woman of the Year"" included amusing scenes and introduced new ways to mock bureaucracy ""without every feeling like the sly satire it secretly is"". Kandell also said he enjoyed the jokes at Leslie's and Jerry's expense. Kona Gallagher of TV Squad said every character was at their best, and that he particularly enjoyed Ron's taunting of Leslie once it was made clear he was only joking. Gallagher said the ""only thing about this episode I didn't love"" was the way the subplot involving Tom's investment with the nightclub ended, because she felt it ""started off strong, but kind of went nowhere."" Matt Fowler of IGN said the episode was not a stand-out, but offered great character moments between Leslie and Ron. Fowler said Tom's desire to live like a hip hop mogul was funny ""but not always engaging"", and that he enjoyed the ""little moments"" between Andy and April.


 DVD release 
""Woman of the Year"", along with the other  second-season episodes of Parks and Recreation, was released on a four-disc DVD set in the United States on November , . The DVD included deleted scenes for each episode. It also included a commentary track for ""Woman of the Year"" featuring Amy Poehler, Nick Offerman, Chris Pratt, Aubrey Plaza, Jim O'Heir, Retta and series co-creator Michael Schur.


 References 


 External links 
""Woman of the Year"" at the official Parks and Recreation site
""Woman of the Year"" on IMDb
""Woman of the Year"" at TV.com",eng
82,"María Concepción Balboa Buika (born May , ) known as Concha Buika and by the stage name Buika, is a Spanish singer. Her album Niña de Fuego was nominated for the  Latin Grammy Award for Album of the Year and La Noche Más Larga was nominated for Best Latin Jazz Album at the th Annual Grammy Awards in .


 Biography 
Concha Buika was born on May , , in Palma de Mallorca in Spain. She is the daughter of Equatoguinean parents, the late writer Juan Balboa and Honorina Buika. Her brother Guillermo ""Guillem"" Balboa was also born in Equatorial Guinea and he is the current alcalde of Alaró. Her brother and her parents were political exiles of their native Equatorial Guinea and arrived to Spain in , three years before Buika's birth. She currently lives in Miami, Florida, United States.
Buika is a singer, poet, composer and music producer. Her music draws on a wide range of influences, from jazz and flamenco to pop, soul and African polyrhythm. She began her career as a drummer and bassist, turning to singing only because ""in Spain nobody wanted a female drummer, and I got tired of hearing no, no, no."" Buika then gained fame singing coplas in Madrid nightclubs in the late s. She has been compared to Nina Simone, Chavela Vargas, Cesaria Evora, Billie Holiday, Edith Piaf, and Amy Winehouse.
In , Buika released her first album Mestizuo (, Producciones Blau S.L.). This was followed by Buika (, DRO) and a trilogy produced by music producer Javier Limón: Mi Niña Lola (My Girl Lola - , DRO), Niña de Fuego (Girl of Fire - , Warner), which included her first book of poems, and El Ultimo Trago (The Last Sip - , Warner), an anthology album featuring Chucho Valdés, Cuba’s standard-bearing pianist, and songs associated with Chavela Vargas, the Mexican ranchera singer.
Buika's largely self-produced seventh album, La Noche Mas Larga (Warner), recorded in New York City and Madrid, came out on June , . The album contains five of her own compositions, including a collaboration with Pat Metheny on Buika's own composition ""No Lo Se"", as well as her take on such classic songs as ""La Nave del Olvido"", ""Don't Explain"", ""Ne Me Quitte Pas"" and ""Siboney"".
Buika's second book of poems, A Los Que Amaron a Mujeres Dificiles y Acabaron por Soltarse (""To those who loved difficult women and ended up letting go""), came out through Edaf (Madrid) in the fall of . She continues to work on producing her first movie based on one of her poems, which is titled ""From Solitude to Hell"". Buika is also working on a novel, an opera and an exhibit featuring her photography and her son's artwork.
In the fall of , her eighth album, Vivir Sin Miedo, was released, the first album containing her own compositions sung in English, Spanish and a mix of the two languages. Vivir Sin Miedo was recorded over four months in Miami, New York, London and Madrid, co-produced with producer Martin Terefe. The first track, also titled ""Vivir Sin Miedo"", was released through all digital channels on July , . The album contains a number of collaborations, including with Me'shell Ndegeocello and Jason Mraz.
Buika has collaborated with musicians and singers in Spanish, Catalan, English, French and Portuguese, with artists such as Anoushka Shankar, Chick Corea, Niño Josele, Mariza, Bebo and Chucho Valdes, Luz Casal, Ivan ""Melon"" Lewis, ""Dizzy"" Daniel Moorehead, Jose Luis Perales, Seal, Armando Manzanero, Nelly Furtado, Charles Aznavour, and Javier Limon.
Buika has also collaborated on the soundtracks of several films. In , director Pedro Almodóvar included two Buika songs--""Por el amor de amar"" (For love's sake) and ""Se me hizo facil"" (I found it easy)--in his movie La piel que habito (The Skin I Live In). Buika also appeared onscreen for the movie.
Buika has performed all over the globe, including the United States, most of Europe, Australia, New Zealand, Turkey, Argentina and Mexico in the last  months alone. She has sometimes toured with a small ensemble, usually a guitarist, bassist and cajón player.


 Discography 
Mestizüo, with Jacob Sureda ()
Buika ()
Mi Niña Lola ()
Niña de Fuego ()
El Último Trago, with Chucho Valdés ()
En Mi Piel () (Compilation)
La Noche Más Larga ()
Vivir Sin Miedo ()
Para mí ()


 Awards and nominations 
Buika's albums have received the following awards:
Disco de Oro - certified Gold for the album Mi niña Lola, presented by Joaquin Sabina.
Best Spanish Song Album: Mi niña Lola (Premios de la Musica,  ).
Best Producer: Mi niña Lola, Javier Limon (Premios de la Musica,  ).
Germany Visual Critics Award : Mi niña Lola
Disco de Oro - certified gold for El Ultimo Trago (Colombia,  ).
Latin Grammy Awards : Best Traditional Tropical Album for El Ultimo Trago.
Luna del Auditorio Nacional Mexico : Best World Music Act La Noche más Larga
Buika's albums and songs have received the following nominations:
Latin Grammy Awards : Album of the Year: Niña de Fuego (, Warner/Casa Limon ).
Latin Grammy Awards : Record of the Year: Se Me Hizo Facil.
Latin Grammy Awards : Record of the Year: La Nave del Olvido.
Grammy Awards : Best Latin Jazz Album: La Noche Mas Larga (, Warner Music Spain S.L.).
Latin Grammy Awards : Record of the Year: Si Volveré.
Grammy Awards : Best World Music Album: Para Mi (, Warner Music Spain S.L.).


 See also 
Glossary of flamenco terms


 References 


 External links 
Official Site",eng
83,"The great flying fox (Pteropus neohibernicus), also known as the greater flying fox or Bismarck flying fox, is a species of megabat in the Pteropus genus, found throughout lowland areas of New Guinea and in the Bismarck Archipelago. At up to . kg (. lb) in weight, it is among the largest bats in the world. It is a gregarious animal which roosts with hundreds or thousands of individuals.


 References ",eng
84,"Karukh (Persian/Pashto: كرخ) is a town and the center of Karukh District, Herat Province, Afghanistan. The population is more than , people. The town is located at .°N .°E﻿ / .; . at  m altitude,  km northeast of Herat.
Karukh’s busy bazaar is continuously mentioned in travelogues down through the centuries. The shrine of Hazrat Alla Berdi, Sufi ul-Islam, stands there (see the photo here).


 Climate 
With a mild and generally warm and temperate climate, Karukh features a hot-summer Mediterranean climate (Csa) under the Köppen climate classification. The average temperature in Karukh is . °C, while the annual precipitation averages  mm.
July is the hottest month of the year with an average temperature of . °C. The coldest month January has an average temperature of . °C.


 See also 
Herat Province


 External links 
[] Nancy Dupree ""A historical guide to Afghanistan""
[] Census Data


 References ",eng
85,"The Ngulu' people, also known as the Geja, Kingulu, Nguru, Nguu, Wayomba, (Swahili collective: Wangulu) are an ethnic and linguistic group from Dodoma Region, Tanga Region and Morogoro Region in Tanzania. In , there were around , Ngulu people.


 References ",eng
